"70";"1Z11A00200141";"Tênis Asics Raiden Masculino - Preto - 41";"1.0000"
"71";"1Z11A00200142";"Tênis Asics Raiden Masculino - Preto - 42";"0.0000"
"72";"1Z11A00200143";"Tênis Asics Raiden Masculino - Preto - 43";"0.0000"
"73";"793651";"Camisa Grêmio I 2018-19 SN Torcedor Umbro Masculina";"0.0000"
"74";"793651G";"Camisa Grêmio I 2018-19 SN Torcedor Umbro Masculina G";"0.0000"
"75";"793651GG";"Camisa Grêmio I 2018-19 SN Torcedor Umbro Masculina GG";"0.0000"
"76";"788278";"Camisa Chapecoense II 2018 SN La Pasion Torcedor Umbro Masculina";"0.0000"
"77";"788278P";"Camisa Chapecoense II 2018 SN La Pasion Umbro Masculina P";"0.0000"
"78";"788278M";"Camisa Chapecoense II 2018 SN La Pasion Umbro Masculina M";"0.0000"
"79";"788278G";"Camisa Chapecoense II 2018 SN La Pasion Umbro Masculina G";"0.0000"
"80";"788278GG";"Camisa Chapecoense II 2018 SN La Pasion Umbro Masculina GG";"0.0000"
"81";"779976";"Jaqueta Cruzeiro Umbro Hino 2018 Masculina";"0.0000"
"82";"779976P";"Jaqueta Cruzeiro Umbro Hino 2018 - Masculina P ";"0.0000"
"83";"779976M";"Jaqueta Cruzeiro Umbro Hino 2018 - Masculina M";"0.0000"
"84";"779976G";"Jaqueta Cruzeiro Umbro Hino 2018 - Masculina G";"0.0000"
"85";"779976GG";"Jaqueta Cruzeiro Umbro Hino 2018 - Masculina GG";"0.0000"
"86";"773921";"Jaqueta Avaí Viagem Masculina 2018-19 Umbro ";"0.0000"
"87";"773921M";"Jaqueta Avaí Viagem Masculina 2018-19 Umbro - M";"1.0000"
"88";"773921G";"Jaqueta Avaí Viagem Masculina 2018-19 Umbro - G";"1.0000"
"89";"771443";"Camisa Grêmio Polo Viagem 2018-19 - Umbro - Masculina ";"0.0000"
"90";"771443P";"Camisa Grêmio Polo Viagem 2018-19 - Umbro - Masculina P";"1.0000"
"91";"771443M";"Camisa Grêmio Polo Viagem 2018-19 - Umbro - Masculina M";"2.0000"
"92";"771443GG";"Camisa Grêmio Polo Viagem 2018-19 - Umbro - Masculina GG";"1.0000"
"94";"777209";"Jaqueta Athletico Paranaense Viagem 2018-19 Masculina ";"0.0000"
"95";"777209M";"Jaqueta Athletico Paranaense Viagem 2018-19 Masculina - M";"1.0000"
"96";"777209G";"Jaqueta Athletico Paranaense Viagem 2018-19 Masculina - G";"0.0000"
"97";"773925";"Camisa Avaí Polo Umbro Viagem 2018-19 Azul";"0.0000"
"98";"773925M";"Camisa Avaí Polo Umbro Viagem 2018-19 Azul-M";"2.0000"
"99";"773925G";"Camisa Avaí Polo Umbro Viagem 2018-19 Azul-G";"2.0000"
"100";"733423";"Camisa Chapecoense Goleiro 17-18 N1 Torcedor Umbro Masculina";"0.0000"
"101";"733423M";"Camisa Chapecoense Goleiro 17-18 N1 Torcedor Umbro Masculina-M";"1.0000"
"102";"733423G";"Camisa Chapecoense Goleiro 17-18 N1 Torcedor Umbro Masculina-G";"1.0000"
"103";"731668";"Camisa Chapecoense II 17-18 SN Torcedor Umbro Masculina ";"0.0000"
"104";"731668G";"Camisa Chapecoense II 17-18 SN Torcedor Umbro Masculina - G";"0.0000"
"105";"731668GG";"Camisa Chapecoense II 17-18 SN Torcedor Umbro Masculina - GG";"0.0000"
"106";"51664801";"Camiseta Puma ACE SS Tee Masculina - Preto";"0.0000"
"107";"51664801P";"Camiseta Puma ACE SS Tee Masculina - Preto - P";"1.0000"
"108";"51664801M";"Camiseta Puma ACE SS Tee Masculina - Preto - M";"1.0000"
"109";"51664801G";"Camiseta Puma ACE SS Tee Masculina - Preto - G";"0.0000"
"110";"51664801GG";"Camiseta Puma ACE SS Tee Masculina - Preto - GG";"0.0000"
"111";"59484006";"Agasalho e Calça Puma Classic Tricot Suit - Marinho";"0.0000"
"114";"51667301";"Camiseta Puma Preta Tee Ignite Run - Feminina";"0.0000"
"115";"51667301P";"Camiseta Puma Preta Tee Ignite Run - Feminina - P";"0.0000"
"116";"51667301M";"Camiseta Puma Preta Tee Ignite Run - Feminina - M";"1.0000"
"117";"51667301G";"Camiseta Puma Preta Tee Ignite Run - Feminina - G";"1.0000"
"118";"51732501";"Calça Legging Puma Energy Tech Tight Preta - Masculina";"0.0000"
"119";"51732501M";"Calça Legging Puma Energy Tech Tight Preta - Masculina - M";"0.0000"
"120";"51732501G";"Calça Legging Puma Energy Tech Tight Preta - Masculina - G";"0.0000"
"121";"85170806";"Calça Puma Active Tricot Masculina - Marinho";"0.0000"
"122";"85170806M";"Calça Puma Active Tricot Masculina - Marinho - M";"0.0000"
"123";"85170806G";"Calça Puma Active Tricot Masculina - Marinho - G";"1.0000"
"124";"57782801";"Camiseta Puma Ferrari Big Shield Masculino - Vermelho";"0.0000"
"125";"57782801M";"Camiseta Puma Ferrari Big Shield Masculina - Vermelho - M";"0.0000"
"126";"57782801G";"Camiseta Puma Ferrari Big Shield Masculina - Vermelho - G";"0.0000"
"127";"85176206";"Camisa Polo Puma ESS Jersey Masculina Azul Marinho";"0.0000"
"128";"85176206P";"Camisa Polo Puma ESS Jersey Masculina Azul Marinho - P";"3.0000"
"129";"85176206M";"Camisa Polo Puma ESS Jersey Masculina Azul Marinho - M";"0.0000"
"130";"85176206G";"Camisa Polo Puma ESS Jersey Masculina Azul Marinho - G";"4.0000"
"131";"85176201";"Camisa Polo Puma ESS Jersey Masculina Preto";"0.0000"
"132";"85176201P";"Camisa Polo Puma ESS Jersey Masculina Preto - P";"1.0000"
"133";"85176201M";"Camisa Polo Puma ESS Jersey Masculina Preto - M";"0.0000"
"134";"85176201G";"Camisa Polo Puma ESS Jersey Masculina Preto - G";"-1.0000"
"135";"85177450";"Camiseta Puma Active Tee - Feminina - Pink";"0.0000"
"136";"85177450P";"Camiseta Puma Active Tee - Feminina - Pink - P";"0.0000"
